Kelime,Anlam No,Anlam,Örnek Cümle
çal,1,hırsızlık yapmak,"Hırsızlardan biri, iş yeri sahibini oyalarken, diğer şüpheli beğendiği iki saati cebine koyarak çaldı."
çal,1,hırsızlık yapmak,Akyazı ilçesindeki sanayi sitesindeki dükkandan kaynak makinesi takımı çalan iki hırsız tutuklandı.
çal,1,hırsızlık yapmak,"Açık bırakılan pencereden giren hırsız, evde bulunan para ve altınları çaldı."
çal,1,hırsızlık yapmak,"Hırsız, evden 50 bin lira değerinde altın çaldı."
çal,1,hırsızlık yapmak,"Adıyaman’ın İmamağa Mahallesi’ndeki eve giren üç kadın, evdeki altınları çaldı."
çal,1,hırsızlık yapmak,"Kayseri’de, 4 ay önce evlenen çiftin evine giren hırsızlar yaklaşık 900 bin TL değerindeki altın çaldı."
çal,1,hırsızlık yapmak,"Arnavutköy’de iki hırsız, girdikleri daireden altın ve değerli eşyaları çaldı."
çal,1,hırsızlık yapmak,"Arnavutköy ilçesinde bir eve giren hırsızlar, yaklaşık 500 bin TL değerindeki altını çalarak kayıplara karıştı."
çal,1,hırsızlık yapmak,"Kilis’te bir eve giren hırsızlar, evdeki ziynet eşyasını çalmak için plan yapıp kaçtı."
çal,1,hırsızlık yapmak,"Konya’nın Yunak ilçesinde bir eve giren hırsız, ev taksiti için biriktirilen altın ve parayı çaldı."
çal,1,hırsızlık yapmak,İstanbul’da bankadan çekilen 200 bin euroyu hırsızlar çaldı.
çal,1,hırsızlık yapmak,ATM’de almayı unuttuğu 13 bin lirayı sıradaki müşteri çaldı.
çal,1,hırsızlık yapmak,"Ataşehir, Üsküdar ve Maltepe’de bankadan çıkanları takip eden şüpheliler, araçtaki para dolu çantaları çaldı."
çal,1,hırsızlık yapmak,"Bankadan çıkanları takip edenler, araçlarının camını kırıp paralarını çaldı."
çal,1,hırsızlık yapmak,Alanya’da marketten alkol çalan şüpheli şahıslar yakalandı.
çal,1,hırsızlık yapmak,Çorlu’da marketten kola çalan hırsız kameralara yakalandı.
çal,1,hırsızlık yapmak,"Müşteri gibi giren hırsız, masadaki cep telefonunu çaldı."
çal,1,hırsızlık yapmak,"Bir kadın, marketten bazı ürünleri çaldı."
çal,1,hırsızlık yapmak,"Hurdacı kadın, bir apartmanın depo bölümünden çanak anten ve vantilatör çaldı."
çal,1,hırsızlık yapmak,Taksim’de turistlerin çantasını çalan kadın hırsızlar suç makinesi çıktı.
çal,1,hırsızlık yapmak,"Bir büfeye müşteri gibi giren kadın, büfe sahibinin parasını çaldı."
çal,1,hırsızlık yapmak,Kastamonu’da çocukların oyuncaklarını bile çalan kadın her yerde aranıyor.
çal,1,hırsızlık yapmak,"Elazığ’da gece yarısı bir apartmana giren hırsız, bina girişindeki ayakkabıları çaldı."
çal,1,hırsızlık yapmak,"Mardin’de bir apartmana giren hırsız, ayakkabıları çalarak kayıplara karıştı."
çal,1,hırsızlık yapmak,Hırsızlar apartman dairesine girip 925 bin TL’lik altın çaldı.
çal,1,hırsızlık yapmak,"Mardin’de bir apartmana giren hırsız, ayakkabıları çaldı."
çal,1,hırsızlık yapmak,"Aksaray’da bir binaya giren hırsız, apartman sakinlerinin ayakkabı ve havlularını çaldı."
çal,1,hırsızlık yapmak,"Hatay’da girdiği apartmandaki motosikleti çalan hırsız, balkondaki ceketi giyerek kayıplara karıştı."
çal,1,hırsızlık yapmak,Kütahya’nın Tavşanlı ilçesinde kitabevinden ikinci el kitapları çaldılar.
çal,1,hırsızlık yapmak,"Edinburgh’daki üç üniversitenin kütüphanelerinden 7 bini aşkın kitap çalan hırsız, 25 ay hapis cezasına çarptırıldı."
çal,1,hırsızlık yapmak,Japonya’nın Ube kentinde halk kütüphanelerinden 1.170 kitap çalan hırsız yakalandı.
çal,1,hırsızlık yapmak,İsviçre’de bir müzeden çalarak yurt dışına kaçırılan paha biçilmez tablolar iade için emniyete teslim edildi.
çal,2,enstürman çalmak,"Beklerken, belki birkaç dakika piyano çalmak istersin."
çal,2,enstürman çalmak,"Bu gerçek bir meydan okuma, yalnızca güzel bir biçimde piyano çalmak değildir."
çal,2,enstürman çalmak,Resim yapmak ve piyano çalmak da hobilerimdedir.
çal,2,enstürman çalmak,"Tıpkı piyano çalmak gibi, sorumluluk da yavaş yavaş ve uzun yılların deneyimi sonunda kazanılır."
çal,2,enstürman çalmak,Aslında org yerine piyano çalmak istiyorum.
çal,2,enstürman çalmak,Ben de hep piyano çalmak istemişimdir.
çal,2,enstürman çalmak,"Yaşınız ne olursa olsun, piyano çalmak çeşitli nedenlerden dolayı harika bir beceridir."
çal,2,enstürman çalmak,"Bilgisayarda yazmak veya piyano çalmak gibi günlük eylemler, bellekten doğru seri sıralaması içinde bireysel hareketler üretmeyi gerektirir."
çal,2,enstürman çalmak,"Özel yeteneğim, dört yaşından beri eğitimini aldığım piyano çalmak."
çal,2,enstürman çalmak,"Jonglörlük yapmak, saat onarmak, piyano çalmak gibi – tam konsantrasyonla farkındalık ve dikkat isteyen herhangi bir şey gibi – hissettiriyor."
çal,2,enstürman çalmak,Tutku piyano çalmak ve piyanist olmak arasındaki farktır; ne yaptığınız değil kim olduğunuzdur.
çal,2,enstürman çalmak,"Kitap okumak, ikinci bir dili konuşmak, zaman çizelgelerini çalışmak, uygulamak ve piyano çalmak sağlıklı bir beyni beslemenin tek yolu değildir."
çal,2,enstürman çalmak,Hepimiz biliyoruz ki ne durmak ne piyano çalmak ne de iftar yapmak suç.
çal,2,enstürman çalmak,"Diğer bir deyişle, hafızanızı geliştiren bir oyun oynarsanız, bu size piyano çalmak gibi yetenekler için mutlaka daha iyi gelmez."
çal,2,enstürman çalmak,"Hobileri piyano çalmak, şaka yapmak ve insanları mutlu etmek."
çal,2,enstürman çalmak,Bir daha piyano çalmak zorunda kalmayacağımı zannetmiştim.
çal,2,enstürman çalmak,"Çocukluğumdan beri piyano çalmak istedim, fakat hiçbir zaman gücüm yetmedi."
çal,2,enstürman çalmak,"Ben bu müziği çalmak istiyorum, ben piyano çalmak istiyorum diye… O virüs bana o zaman bulaştı."
çal,2,enstürman çalmak,"Evet çalmayı kendin öğrendin, ve bu sebeple Derek, piyano çalmak senin için, bolca parmak eklemi ve karate vuruşları demek oldu, ve hatta araya biraz burun bile karıştı."
çal,2,enstürman çalmak,Piyano çalmak sanılanın aksine zor değildir.
çal,2,enstürman çalmak,Keman çalmak istiyordum çünkü piyano çalarken sesi istediğim kadar kontrol edemiyordum.
çal,2,enstürman çalmak,Keman çalmak gerçekten bir çocuğu daha akıllı yapabilir mi?
çal,2,enstürman çalmak,Keman çalmak dışında bir şey mi var?
çal,2,enstürman çalmak,Aynı şekilde ben de keman çalmak istiyorum.
çal,2,enstürman çalmak,"Sonunda daha fazla katlanamadım, keman çalmak için odama döndüm."
çal,2,enstürman çalmak,Keman çalmak oldukça sıkı bir çalışma ve azim gerektirse de sizin için eğlenceli bir hobi olmalıdır ve müzisyenler için sanatsal fırsatlar sağlamalıdır.
çal,2,enstürman çalmak,Her şey keman çalmak değil.
çal,2,enstürman çalmak,Ben sizinle keman çalmak istiyorum.
çal,2,enstürman çalmak,Keman çalmak çok pratik ister.
çal,2,enstürman çalmak,Keman çalmak mı istiyorsun?
çal,2,enstürman çalmak,"Herkes birinci keman çalmak isteseydi, hiç bir orkestra kurulamazdı."
çal,2,enstürman çalmak,"Hae-na, sen keman çalmak için doğmuşsun."
çal,2,enstürman çalmak,Adam seni neşelendirmek için keman çalmak çok ister.
çal,2,enstürman çalmak,"Dolayısıyla birlikte bir flüt ve keman çalmak yerine, ikisinin arasında bir yerde, yepyeni, algoritma yönlendirmeli bir dijital enstrümana sahipsinizdir."
çal,2,enstürman çalmak,Konserde keman çalmak için yeterince eğitim görmedim.
çal,2,enstürman çalmak,Yaz okuluna keman çalmak istediği için gidiyordu.
çal,2,enstürman çalmak,"Her zaman, sadece bir erkek çocuğu iyi keman çalar der."
çal,2,enstürman çalmak,Ayrıca keman çalar ve pipo içerim.
çal,2,enstürman çalmak,Çünkü keman çaldığın zaman annen de dahil herkes dinliyor.
çal,2,enstürman çalmak,"Ken keman çalabilir, gitardan bahsetmeye bile gerek yok."
çal,2,enstürman çalmak,O bir flüt çalabilir.
çal,2,enstürman çalmak,Sadece erkekler flüt çalar.
çal,2,enstürman çalmak,Benim için flüt çalar mısın?
çal,2,enstürman çalmak,Bana flüt çalmayı öğretti.
çal,2,enstürman çalmak,Ben bir flüt solo çalmayı düşünüyorum.
çal,2,enstürman çalmak,"Bir kız, flüt çalıyor."
çal,2,enstürman çalmak,Piyano ve flüt çalmayı biliyor.
çal,2,enstürman çalmak,Tom flütü Mary’den daha iyi çalıyor.
çal,2,enstürman çalmak,bir gece ud bir gece gitar çalınır
çal,2,enstürman çalmak,hatta gitarını bulamadık yoksa gitarını da alıp biraz da çalacaktı size
çal,3,kapıya vurmak,"Derken kapıyı çaldı, bir câriye çıkınca ona…"
çal,3,kapıya vurmak,"Kapıyı çaldı, sonra içeri girdi."
çal,3,kapıya vurmak,"Hemen hemen tüm komşuları gibi, ipoteğini yeniden finanse etmeyi vaat eden bir komisyoncu kapıyı çaldı."
çal,3,kapıya vurmak,"Dün gece sen gittikten sonra, odamda konuşmama hazırlanıyordum ve bir kız kapıyı çaldı."
çal,3,kapıya vurmak,Eski bir söz var: Korku kapıyı çaldı.
çal,3,kapıya vurmak,"Birisinin dediği gibi: “Korku kapıyı çaldı, inanç onu açtı ve orada kimse yoktu.”"
çal,3,kapıya vurmak,Kapıyı çaldı ve sadece onu misafir ettim.
çal,3,kapıya vurmak,Kapıyı çaldı ve güzel bir genç kızın kapıyı açtığını görünce hayrete düştü.
çal,3,kapıya vurmak,"Gecelerden bir gece, rüyamda bir kimse kapıyı çaldı."
çal,3,kapıya vurmak,"Birileri gizlice merdivenlerden yukarı çıkıp, kapıyı çaldı."
çal,3,kapıya vurmak,Rüyamda vefat etmiş anneannem kapıyı çaldı.
çal,3,kapıya vurmak,"Adamlarımın siniri bozuldu, kapıyı çaldı."
çal,3,kapıya vurmak,Tom walked up to the house and knocked on the door.
çal,3,kapıya vurmak,"Fırsat kapıyı çaldı, ben de açtım."
çal,3,kapıya vurmak,Kader kapıyı çaldı ve ben hepsini kabul ettim.
çal,3,kapıya vurmak,Ben kapıyı çaldım ama kimse yanıt vermedi.
çal,3,kapıya vurmak,Biri kapıyı çaldı.
çal,3,kapıya vurmak,"“’Polisiz’ diye kapıyı çaldılar, Ürdünlü iş adamını soydular…”"
çal,3,kapıya vurmak,"Gaz kokusundan şüphelendiler, dakikalarca kapıyı çaldılar."
çal,3,kapıya vurmak,“Saat 03.00’te kapıyı çaldılar. (Hücrede) Uyuyordum…”
çal,3,kapıya vurmak,Kapı tamircisiyiz diyerek kapıyı çaldılar.
çal,3,kapıya vurmak,Tom kapıyı çalar. Bayan Watson açar.
çal,3,kapıya vurmak,Bir adam kapıyı çalıyordu.
çal,3,kapıya vurmak,“Kez sertçe vurduktan sonra kapıyı çaldı. Kapı hemen açıldı.”
çal,3,kapıya vurmak,"Kendi özel hayatlarına değer veren insanlar, genellikle önce kapıyı çalar."
çal,3,kapıya vurmak,"Tamam, Isabelle, genelde arkadaşlar kapıyı çalar."
çal,3,kapıya vurmak,"Bir gün, işaretlerinin kaybolduktan yaklaşık bir hafta sonra, biri kapıyı çalar."
çal,3,kapıya vurmak,"Biri cevap vermezse, en kötü durumda birisi gelir ve kapıyı çalar."
çal,3,kapıya vurmak,Toplum ondan uzak durana karşı kıskançtır ve gelip kapıyı çalar.
çal,3,kapıya vurmak,"Koridora bırakır, kapıyı çalar ve giderdim."
çal,3,kapıya vurmak,"Bilirsin, erkek ve kadın odaları utangaç gecenin bir yarısı kapıyı çalar."
çal,3,kapıya vurmak,Ve sonra erkek kızın evine gelir ve kapıyı çalar ve “seni sinemaya götürmeye geldim” der.
çal,3,kapıya vurmak,Efendi dediğin kapıyı çalar.
çal,3,kapıya vurmak,Katiller kapıyı çalar mı sanıyorsun?
çal,3,kapıya vurmak,Gelecek sefer kapıyı çalar mısın?
çal,3,kapıya vurmak,Benim dostlarım kapıyı çalar.
çal,3,kapıya vurmak,Yedek asker gelir kapıyı çalar.
çal,3,kapıya vurmak,İnsan kapıyı çalar Zach.
çal,3,kapıya vurmak,Kapıyı çalar mısın lütfen?
çal,3,kapıya vurmak,Bir bahçeye iner ve kapıyı çalar.
çal,3,kapıya vurmak,Sonra hemen küçük elleriyle güçlüce kapıyı çalar.
çal,3,kapıya vurmak,Birçok medeni insan içeri girmeden kapıyı çalar.
çal,3,kapıya vurmak,Birisi kapıyı çalar ve bir şekilde onun pencereden uçmasına sebep olur.
çal,3,kapıya vurmak,Bir misafir kapıyı çalar.
çal,3,kapıya vurmak,Gizemli biri kapıyı çalar.
çal,3,kapıya vurmak,Ertesi gün sabah yine gider ve kapıyı çalar.
çal,3,kapıya vurmak,Bir centilmen bir hanımefendinin odasına girmeden önce kapıyı çalar.
çal,3,kapıya vurmak,"Amcamızın oğlu sabırsızca gider, kapıyı çalar…"
çal,3,kapıya vurmak,öğretmen doğan can'ın okula gelmemesi üzerine evine giden meslektaşları kapıyı çaldıklarında yanıt alamayınca kırarak içeriye girdiler
çal,3,kapıya vurmak,üst katta oturan reşit yavuz'un yeğenlerini okula götürmek üzere sabah saat yedi sıfır sıfırde kapıyı çaldığında karşısına elinde ekmek bıçağı ile giysileri kan içinde olan ağabeyi yılmaz yavuz'un çıktığı anlatılan notta yılmaz yavuz'un ne oldu
yaz,1,mevsim (yaz ayı),"Yaz dönemi meyveleri olarak karpuz, kavun, kiraz, kayısı, erik, çilek, şeftali, üzüm, incir, dut, böğürtlen ve armut sayılabilirken; taze fasulye, patlıcan, …"
yaz,1,mevsim (yaz ayı),Yaz havası geliyor: Sıcaklıklar mevsim normallerinin üstüne çıkacak.
yaz,1,mevsim (yaz ayı),Yaz turizmi sıcak iklimlerde gerçekleştirilen boş zaman ve rekreasyon etkinliklerini içerir.
yaz,1,mevsim (yaz ayı),Yaz Sezonu haberleri sayfasında Yaz Sezonu hakkında son dakika haberler ve güncel bilgiler bulunmaktadır.
yaz,1,mevsim (yaz ayı),"Yaz sebzeleri; domates, salatalık, kabak, bezelye, taze fasulye, enginar, patlıcan, biber olarak sıralanabilir."
yaz,1,mevsim (yaz ayı),Bu yaz hava nasıl olacak?
yaz,1,mevsim (yaz ayı),Özbekistan’da yazlar çok sıcak ve kuraktır.
yaz,1,mevsim (yaz ayı),2025 yılı yaz sezonu hızlı başlayan taleple erken açıldı! Turizme üçlü tatil dopingi.
yaz,1,mevsim (yaz ayı),Yaz Meyveleri Nelerdir? · 1. Karpuz · 2. Şeftali · 3. Siyah İncir · …
yaz,1,mevsim (yaz ayı),"Şermin Tağıl, Türkiye’yi bu yaz mevsiminde ciddi sıcak hava dalgaları ve kuraklık riskinin beklediğini belirtti."
yaz,1,mevsim (yaz ayı),"Yaz tatili haziran, temmuz, ağustos ve eylül ayları boyunca Türkiye’nin özellikle Ege ve Akdeniz kıyılarında denize ve güneşe doyarak keyifli vakit geçirebileceğiniz tatil dönemidir."
yaz,1,mevsim (yaz ayı),"Yaz sıcakları iyice bastırdı, sezon erken açıldı!"
yaz,1,mevsim (yaz ayı),"Salatalık: Salatalık, sıcak ve iyi sulama sayesinde meyve bahçelerinin tam kapasite ile üretim yaptığı tipik bir yaz sebzesidir."
yaz,1,mevsim (yaz ayı),Ben tüm yaz tatili boyunca evden uzaktaydım.
yaz,1,mevsim (yaz ayı),Yaz tatilinde nereye gittin?
yaz,1,mevsim (yaz ayı),Ben bu yaz tatile çıkmayı planlıyorum.
yaz,1,mevsim (yaz ayı),Okul yaz tatili nedeniyle kapandı.
yaz,1,mevsim (yaz ayı),Yaz tatilini dört gözle bekliyorum.
yaz,1,mevsim (yaz ayı),Birçok genç yaz tatilinde yurt dışına çıkar.
yaz,1,mevsim (yaz ayı),Yaz tatili boyunca sadece dinleneceğim.
yaz,1,mevsim (yaz ayı),"Erzurum Sağlık İl Müdürlüğü, Mayıs ayının “Cilt Kanseri Farkındalık Ayı” olduğunu ifade ederek, özellikle yaz aylarında artan güneş maruziyeti öncesinde toplumun cilt kanseri konusunda bilinçlenmesi ve erken teşhisinin önemini vurguladı."
yaz,1,mevsim (yaz ayı),Kentte hava sıcaklığı da yaz günlerini aratmayacak seviyede mevsim normalleri üzerinde seyrediyor.
yaz,1,mevsim (yaz ayı),"Yaz, adalara gitmek için en uygun mevsim."
yaz,1,mevsim (yaz ayı),Özellikle yaz aylarında otellerimiz yüzde 80–90 doluluk oranına kadar ulaşmaktadır.
yaz,1,mevsim (yaz ayı),Türkiye’de uzun yıllar boyunca yaz mevsimi yağış ortalaması 64 milimetre olarak ölçüldü.
yaz,1,mevsim (yaz ayı),Yaz mevsiminde yağışların uzun yıllar ortalamasına göre yüzde 9 azaldığı belirlendi.
yaz,1,mevsim (yaz ayı),"Türkiye genelinde yağışlar, bu yıl yaz mevsiminde 78,3 milimetre olurken, uzun yıllar ortalamasına göre yüzde 22 arttı."
yaz,1,mevsim (yaz ayı),"Yaz mevsiminin yağış oranı %14,7; en yağışlı mevsim ilkbahardır."
yaz,1,mevsim (yaz ayı),Bu yaz tatilinde dayımlarda geldiği için çok eğlendim.
yaz,1,mevsim (yaz ayı),"Yaz mevsimi dağlarda serin, dağlılar da iyilikseverdi, yalnızlık çeken bütün insanlar gibi."
yaz,1,mevsim (yaz ayı),Her haliyle güzeldir yaz mevsimi.
yaz,1,mevsim (yaz ayı),"Kuzey Yarımküre haziran, temmuz, ağustos aylarında yaz mevsimidir."
yaz,1,mevsim (yaz ayı),Yaz mevsimi gelir güneş ile karpuz ile tadı çıkar tatil ile yüzme ile.
yaz,1,mevsim (yaz ayı),Yaz mevsimi çok sıcak geçti.
yaz,1,mevsim (yaz ayı),Yaz mevsimi çok güzelmiş.
yaz,1,mevsim (yaz ayı),Mevsimlerden yaz zamanı geldi.
yaz,1,mevsim (yaz ayı),Yaz mevsimi çok sıcak olur.
yaz,1,mevsim (yaz ayı),"Özellikle, Adana, Mersin çevreleri çok sıcak olur."
yaz,1,mevsim (yaz ayı),Yaz mevsimi geldiğinde doğa kendini en coşkulu ve renkli haliyle ifade eder.
yaz,1,mevsim (yaz ayı),"Yaz ayları geldiğinde, sıcak hava karşısında serinlemek için aradığımız en lezzetli ve ferahlatıcı içeceklerden biri kuşkusuz limonatadır."
yaz,1,mevsim (yaz ayı),"Yaz mevsimi yolda. Tatil planları, açık hava etkinlikleri ve bol bol dinlenme zamanı…"
yaz,1,mevsim (yaz ayı),"Yaz mevsimi geldiğinde köyüne gider, ekinleri biçer, ailesine yardımcı olurdu."
yaz,1,mevsim (yaz ayı),"Yaz mevsiminde haftada en az 2 defa tüketilen taze fasulye, sağlığa olan etkileri açısından çok sevilen bir sebze olmaktadır."
yaz,1,mevsim (yaz ayı),"Her yaz mevsimi geldiğinde, meteoroloji uzmanları ve iklim bilimciler, El Niño ve La Niña gibi hava olaylarını gündeme taşır."
yaz,1,mevsim (yaz ayı),Yaz mevsiminde yağışlar uzun yıllar ortalamasına göre yüzde 22 arttı.
yaz,1,mevsim (yaz ayı),Yaz mevsiminde yağışlar uzun yıllar ortalamasına göre yüzde 26 arttı.
yaz,1,mevsim (yaz ayı),"Türkiye’de topraklara bu yaz 58,4, geçen yıl yaz mevsiminde ise 82,9 milimetre yağış düştü."
yaz,1,mevsim (yaz ayı),Yaz mevsiminde her yer yeşil ve her yer cıvıl cıvıl olur.
yaz,1,mevsim (yaz ayı),Yaz mevsimi en sıcak mevsimdir.
yaz,1,mevsim (yaz ayı),Yaz mevsiminin gündüzleri çok uzundur.
yaz,2,yazmak (kalemle yazı yazmak),Ödevimi dün gece yazdım.
yaz,2,yazmak (kalemle yazı yazmak),Sana bir mektup yazıyorum.
yaz,2,yazmak (kalemle yazı yazmak),Yeni bir roman yazmak istiyorum.
yaz,2,yazmak (kalemle yazı yazmak),Günlüğünü her gün yaz.
yaz,2,yazmak (kalemle yazı yazmak),Bu kitabı yazmak yıllarımı aldı.
yaz,2,yazmak (kalemle yazı yazmak),E-posta yazmayı unuttum.
yaz,2,yazmak (kalemle yazı yazmak),Blog yazıları yazıyor.
yaz,2,yazmak (kalemle yazı yazmak),Makale yazmak için kütüphaneye gittim.
yaz,2,yazmak (kalemle yazı yazmak),Bu konuyu yazıya döktüm.
yaz,2,yazmak (kalemle yazı yazmak),Notlarını yazarken sessiz ol.
yaz,2,yazmak (kalemle yazı yazmak),Şiir yazmayı seviyorum.
yaz,2,yazmak (kalemle yazı yazmak),Raporu yarın teslim için yaz.
yaz,2,yazmak (kalemle yazı yazmak),SMS yazarken dikkat et.
yaz,2,yazmak (kalemle yazı yazmak),Twitter’da yazdıklarını silme.
yaz,2,yazmak (kalemle yazı yazmak),Anılarını bir kitapta yazdı.
yaz,2,yazmak (kalemle yazı yazmak),Hikâye yazmaya vakit bulamadım.
yaz,2,yazmak (kalemle yazı yazmak),Düşüncelerimi yazıya aktardım.
yaz,2,yazmak (kalemle yazı yazmak),Adresi deftere yaz.
yaz,2,yazmak (kalemle yazı yazmak),URL’yi kopyala ve yaz.
yaz,2,yazmak (kalemle yazı yazmak),Onun hakkında bir makale yazıldı.
yaz,2,yazmak (kalemle yazı yazmak),Not defterime kısa notlar yazdım.
yaz,2,yazmak (kalemle yazı yazmak),Ders notlarını bilgisayara yaz.
yaz,2,yazmak (kalemle yazı yazmak),Mesajımı hâlâ yazmadım.
yaz,2,yazmak (kalemle yazı yazmak),Gazeteye köşe yazısı yazdı.
yaz,2,yazmak (kalemle yazı yazmak),Kod yazmak eğlenceli.
yaz,2,yazmak (kalemle yazı yazmak),Şarkı sözü yazdı.
yaz,2,yazmak (kalemle yazı yazmak),Gönder butonuna basmadan önce yorumunu yaz.
yaz,2,yazmak (kalemle yazı yazmak),Fotoğrafın altına açıklama yazdım.
yaz,2,yazmak (kalemle yazı yazmak),Bloguma yeni bir gönderi yazdım.
yaz,2,yazmak (kalemle yazı yazmak),Düşüncelerini çekinmeden yaz.
yaz,2,yazmak (kalemle yazı yazmak),Hatırlatıcıyı takvime yaz.
yaz,2,yazmak (kalemle yazı yazmak),Telefon numaranı yaz.
yaz,2,yazmak (kalemle yazı yazmak),Okul panosuna duyuru yazılmış.
yaz,2,yazmak (kalemle yazı yazmak),Gazeteye köşe yazısı yazdı.
yaz,2,yazmak (kalemle yazı yazmak),Video açıklaması yaz.
yaz,2,yazmak (kalemle yazı yazmak),ChatGPT’ye mesaj yaz.
yaz,2,yazmak (kalemle yazı yazmak),Görüşlerinizi yorum bölümüne yazınız.
yaz,2,yazmak (kalemle yazı yazmak),Kod bloğunu dosyaya yaz.
yaz,2,yazmak (kalemle yazı yazmak),Resim altı yazısını ekle.
yaz,2,yazmak (kalemle yazı yazmak),Kafiyeli bir şarkı sözü yazmayı dene.
yaz,2,yazmak (kalemle yazı yazmak),Künye bilgilerini sayfaya yaz.
yaz,2,yazmak (kalemle yazı yazmak),İmla kurallarına uygun yaz.
yaz,2,yazmak (kalemle yazı yazmak),Herkes fikrini açıkça yazmalı.
yaz,2,yazmak (kalemle yazı yazmak),Bu makaleyi akademik dergi için yazdım.
yaz,2,yazmak (kalemle yazı yazmak),Metni Word’e yazarken dikkatli ol.
yaz,2,yazmak (kalemle yazı yazmak),Fikrini posta kartına yaz.
yaz,2,yazmak (kalemle yazı yazmak),Yazı tipini önceden belirle ve metni yaz.
yaz,2,yazmak (kalemle yazı yazmak),Görselin yanına açıklama yaz.
yaz,2,yazmak (kalemle yazı yazmak),E-dergi için içerik yaz.
yaz,2,yazmak (kalemle yazı yazmak),Gönderdiğin raporu e-postaya yaz.
dal,1,ağaç parçası (dal),Ağaçların çiçek açan dalları karla kaplandı.
dal,1,ağaç parçası (dal),"Karla kaplanan ağaç dalları, ormanın derinlikleri adeta bir beyaz rüyaya büründü."
dal,1,ağaç parçası (dal),"Yeşil alanlar beyaza bürünürken, çiçek açan ağaçların dalları karla kaplandı."
dal,1,ağaç parçası (dal),Üçgen kesim sonucu hem aynı noktadan tekrar dal çıkışı sağlanır hem de çıkan dal geniş açılı olur.
dal,1,ağaç parçası (dal),"Bir dalın hem meyve vermesi hem de yeni sürgün oluşturması, o dalın ortalama üçte birini kesmekle sağlanabilir."
dal,1,ağaç parçası (dal),"Dallar, meyve ağaçlarına şekil veren, yaprak ve meyvelerin taşıyıcısı olan organlardır."
dal,1,ağaç parçası (dal),"Bir meyve ağacında ana dallar tacın oluşumunu sağlar, yardımcı dallar ağaca şekil verir, meyve dalları ise generatif faaliyeti yönlendirir."
dal,1,ağaç parçası (dal),"Kalabalık dalları kesmek ışık ve hava dolaşımını iyileştirir, bu da meyve verimini artırır."
dal,1,ağaç parçası (dal),"Bir anda aşağıya doğru sallanan ağaç dalının tamamen kopmaması muhtemel bir yaralanmanın önüne geçerken, vatandaşlar durumu 112 Acil Çağrı Merkezi’ne bildirdi."
dal,1,ağaç parçası (dal),"Rüzgar esti dal sallandı, sicaplar saklandı."
dal,1,ağaç parçası (dal),"Büyük dallar sallanır, telgraf tellerinde ıslık sesi işitilir, şemsiye taşımak güçleşir."
dal,1,ağaç parçası (dal),"Sarı sarı yaprakları kuru dallara? Yolunmuş yaprakları, kırılmış dallarıyla ne anlatır bir ağaç!"
dal,1,ağaç parçası (dal),Sen bir ağaçsın! Rüzgarda yaprakları sallanan… dalları gökyüzüne uzanan…
dal,1,ağaç parçası (dal),Rüzgarda sallanan dallar.
dal,1,ağaç parçası (dal),"Bartın’ın Amasra ilçesinde fırtına kentin bir çok caddesini etkisi altına aldı; dev ağaçların dalları sallanıyor, tehlike saçıyor."
dal,1,ağaç parçası (dal),"Narin gövdeli, sivri tepeli ve ince dallı bir ağaçtır."
dal,1,ağaç parçası (dal),"Baş aşağı sarkana ince, uzun yaprakları ve dallarıyla Rapunzel'in saçlarını andıran bir ağaçtır söğüt."
dal,1,ağaç parçası (dal),Örümcek ağı gibi ince dalları ve beyaz kabuğuyla huş ağacı özellikle kışın güzel bir görüntü verir.
dal,1,ağaç parçası (dal),"Ağaç dalından bitki çoğaltmak için kök hormonu veya kök gübresi kullanmak, yeni bitkinin sağlıklı bir şekilde büyümesine yardımcı olur."
dal,1,ağaç parçası (dal),Köy halkından görüntülerde sevimli sincapın ağacın dallarında dolaştığı anlar kameraya yansıdı.
dal,1,ağaç parçası (dal),"Çanakkale'de, kovanlarından ayrılan ve yuvalanacak yer bulamayınca bir ağacın dalında petek yapan binlerce arının bu davranışı ender görüldü."
dal,1,ağaç parçası (dal),"Ana dallar, gövdeden çıkarak ağaçların taç kısmını oluştururlar."
dal,1,ağaç parçası (dal),Etkili olan rüzgar nedeniyle Çarşı Mahallesi'nde bulunan ağacın dalı koparak yola devrildi.
dal,1,ağaç parçası (dal),Muğla'nın Marmaris ilçesinde 2 bin yıllık dev çınar ağacının dalının kopması sonucu iki kadın turist yaralandı.
dal,1,ağaç parçası (dal),İzmir’in Kemalpaşa’da asırlık ağaç dalı kıraathanede oturanların üzerine devrildi; 9 kişi yaralandı.
dal,1,ağaç parçası (dal),Batman'da fırtına sırasında ağaç dalı otomobilin üzerine düşerek hasar oluşturdu.
dal,1,ağaç parçası (dal),Değirmendere Çınarlık Meydanı’nda bir ağacın dalı bilinmeyen bir nedenden koptu.
dal,1,ağaç parçası (dal),Rüzgardan kopan ağaç dalı az daha bir vatandaşı yaralayacaktı.
dal,1,ağaç parçası (dal),"Karın ağırlığına dayanamayan ağaç dalı kırıldı, öğrenci altından kalmaktan son anda kurtuldu."
dal,1,ağaç parçası (dal),"Eskişehir’de fırtınada dalı kırılan ağaç, tramvay enerji hatlarına devrilince uzmanlar tarafından budandı."
